Epoch,U-Net_resnet50,U-Net_resnet101,DeepLabV3_resnet50,DeepLabV3_resnet101
0,1.4674017826716106,1.1569098234176636,1.2655247648557026,1.2239153981208801
1,1.2830342849095662,1.0041793882846832,1.0927425026893616,1.0907435615857441
2,1.1988178094228108,0.9321826696395874,1.024315357208252,1.0040809412797291
3,1.1440608501434326,0.8794397612412771,0.9733308653036753,0.9483446081479391
4,1.0783955256144206,0.8339775303999583,0.9347256422042847,0.8986811737219492
5,1.032948652903239,0.7972765266895294,0.8944708009560903,0.8499262730280558
6,0.9938878019650778,0.7665825486183167,0.8599209189414978,0.8185388247172037
7,0.9570326507091522,0.7381037672360738,0.8305499255657196,0.7872386674086252
8,0.9222568273544312,0.7099033892154694,0.8050340910752615,0.7588934699694315
9,0.889597604672114,0.6935703953107198,0.7763249973456064,0.7363541424274445
10,0.8548849622408549,0.6626151005427042,0.751134584347407,0.7144468625386556
11,0.8265959024429321,0.63592595855395,0.7265086472034454,0.6896266341209412
12,0.7992252210776011,0.6108680367469788,0.7043457925319672,0.6672134697437286
13,0.7725615898768107,0.586651494105657,0.6772124965985616,0.646358331044515
14,0.7479225099086761,0.5660965045293173,0.6515341699123383,0.6277264753977457
15,0.7251463333765665,0.5433376630147299,0.6223916808764139,0.6094281673431396
16,0.7040252884229025,0.5297287702560425,0.5974003970623016,0.586895634730657
17,0.6820371250311533,0.5123970756928126,0.5757783353328705,0.5710921386877695
18,0.6609449485937754,0.497134397427241,0.5526886880397797,0.5509537855784098
19,0.6461601058642069,0.4821377197901408,0.5404827892780304,0.5388164420922598
20,0.6164236664772034,0.46530534823735553,0.5225241780281067,0.5304890275001526
21,0.6048793196678162,0.4537369906902313,0.5067746539910635,0.5161426762739817
22,0.5973692735036215,0.4422418425480525,0.4950425773859024,0.5005046278238297
23,0.5851600170135498,0.45208358267943066,0.4768864264090856,0.48780882855256397
24,0.5632153352101644,0.43484513958295185,0.4588584552208583,0.4761090675989787
25,0.5563319623470306,0.4283491025368373,0.4459637602170308,0.461402749021848
26,0.5432044963041941,0.415548379222552,0.43815480669339496,0.45232365528742474
27,0.5265171726544698,0.4005776395400365,0.42364944020907086,0.4392874439557393
28,0.5140266666809717,0.39139875769615173,0.41567840178807575,0.42455943922201794
29,0.5019710510969162,0.3813651353120804,0.40526072680950165,0.41890516380469006
30,0.49009503424167633,0.3807766040166219,0.39024852712949115,0.40614138543605804
31,0.4770618975162506,0.3680930733680725,0.3817597031593323,0.3965652833382289
32,0.47124556203683216,0.36017734309037525,0.37358621259530383,0.38568879663944244
33,0.4580524166425069,0.3455243557691574,0.36495131254196167,0.378252238035202
34,0.4491475423177083,0.3566089868545532,0.3619230389595032,0.3725772400697072
35,0.44340305030345917,0.3495614230632782,0.3501961976289749,0.36713077624638873
36,0.4320300320784251,0.33008138338724774,0.34809885422388714,0.3586062838633855
37,0.4220319390296936,0.3359392484029134,0.3379080692927043,0.34600233534971875
38,0.4184804856777191,0.32612333198388416,0.33390818039576214,0.3366708904504776
39,0.40661342442035675,0.32089264690876007,0.3236466695864995,0.3301322857538859
40,0.4042593538761139,0.308877170085907,0.32160423696041107,0.3195693741242091
41,0.3927763948837916,0.3064234256744385,0.3117666244506836,0.30766794085502625
42,0.3866874227921168,0.2928968667984009,0.30669358869393665,0.3135671714941661
43,0.3730749289194743,0.2883940190076828,0.30645497143268585,0.3005701502164205
44,0.37057029207547504,0.2855868140856425,0.2964020023743312,0.30084854861100513
45,0.3632487754027049,0.2860095848639806,0.2887406249841054,0.3095286339521408
46,0.3492690771818161,0.2762246330579122,0.28847471872965497,0.29183076818784076
47,0.350020835796992,0.2704335997502009,0.28115129967530567,0.2874989112218221
48,0.3444199363390605,0.274094358086586,0.27886156737804413,0.27612315118312836
49,0.336229940255483,0.2672433058420817,0.27379616101582843,0.27004510164260864
50,0.32911571860313416,0.2663489480813344,0.26101260880629223,0.26342226564884186
51,0.32558856904506683,0.2534845918416977,0.2673660069704056,0.2573750267426173
52,0.3148747632900874,0.24940124402443567,0.2562434474627177,0.2554877648750941
53,0.312259241938591,0.24868493527173996,0.25160794456799823,0.25249452392260235
54,0.30308396617571515,0.2446338931719462,0.2508729323744774,0.2494840994477272
55,0.2962214450041453,0.23735681921243668,0.24836168438196182,0.24638465295235315
56,0.2917382021745046,0.237304096420606,0.23849094162384668,0.2426923687259356
57,0.28480573495229083,0.2328597828745842,0.23506738742192587,0.23320558667182922
58,0.27558959523836773,0.2255542054772377,0.23313582440217337,0.22969614217678705
59,0.266953448454539,0.22554797927538553,0.23254758367935816,0.229424054423968
60,0.26533515751361847,0.22102637588977814,0.22169743229945502,0.23114660878976187
61,0.25684191783269245,0.2221211095650991,0.2229513575633367,0.22721524784962335
62,0.25828129549821216,0.2161455824971199,0.2234815532962481,0.21714738508065543
63,0.2545567328731219,0.21318585177262625,0.2190269728501638,0.21468044320742288
64,0.24570524940888086,0.20676254481077194,0.21394483000040054,0.21702584624290466
65,0.24443185577789941,0.20309330771366754,0.20800557235876718,0.21942051748434702
66,0.23660611857970557,0.20354476819435754,0.21203650534152985,0.20991275956233343
67,0.22738398859898248,0.19759546468655267,0.20207900802294412,0.20668014883995056
68,0.23878821978966394,0.1965882753332456,0.20242201536893845,0.2014428029457728
69,0.23352337628602982,0.19462576260169348,0.19714639087518057,0.1989073654015859
70,0.2387921785314878,0.19190127650896707,0.19171138356129327,0.19453645000855127
71,0.2294634903470675,0.19179496417442957,0.1974442278345426,0.1982464517156283
72,0.22964372485876083,0.18933208038409552,0.19036802649497986,0.19419559091329575
73,0.22042305022478104,0.18393771350383759,0.19631033639113107,0.18902611235777536
74,0.2162435775001844,0.18380430340766907,0.1896016076207161,0.18259413788715997
75,0.21088422338167825,0.179903378089269,0.18785097946723303,0.18294267356395721
76,0.20943894485632578,0.17498203863700232,0.18639929592609406,0.1778444473942121
77,0.19842706869045892,0.16495537012815475,0.1933478837211927,0.1746076469620069
78,0.20052863409121832,0.17117159068584442,0.1815371240178744,0.16837604095538458
79,0.1989999661842982,0.169891486565272,0.1751863087217013,0.16339082270860672
80,0.1891962712009748,0.17284826189279556,0.17836353927850723,0.16855747252702713
81,0.18870421250661215,0.17335311075051626,0.17376356571912766,0.16553816199302673
82,0.19015281895796457,0.17058435827493668,0.17776579906543097,0.1642331729332606
83,0.17994000017642975,0.16555147369702658,0.16172020385662714,0.16181210180123648
84,0.18216875195503235,0.16344467550516129,0.16287987430890402,0.160225510597229
85,0.17640164494514465,0.16046915451685587,0.15703517446915308,0.15807619194189707
86,0.171227698524793,0.15976693232854208,0.15678207824627557,0.1552718703945478
87,0.1673492267727852,0.16165089358886084,0.14746988068024316,0.1522847736875216
88,0.1675897960861524,0.1535091002782186,0.14950095613797507,0.14920795460542044
89,0.1645319958527883,0.15431813647349676,0.15240312367677689,0.15365093449751535
90,0.1586320847272873,0.14718577762444815,0.151023601492246,0.14887270331382751
91,0.16171281039714813,0.14908174673716226,0.14458862443765005,0.15179607272148132
92,0.16771976898113886,0.14371747771898905,0.14248842497666678,0.14401552826166153
93,0.16402746240297952,0.14651991923650107,0.14244152357180914,0.14335021376609802
94,0.15330048774679503,0.14003402491410574,0.1401668240626653,0.1443415954709053
95,0.15203027923901877,0.13672147194544473,0.1350272223353386,0.14460599919160208
96,0.14795937885840735,0.13670476526021957,0.1341455082098643,0.14041602859894434
97,0.14613600820302963,0.12494062135616939,0.1274575044711431,0.14103547856211662
98,0.145573357741038,0.13317513341705003,0.13003970682621002,0.1388034150004387
99,0.14886231223742166,0.13264217351873717,0.12624648089210191,0.13811169564723969
